owner,name,repo_path,has_root_pom,declared_modules_count,declared_missing_dir,declared_missing_pom,child_without_parent,undeclared_poms,notes
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,True,0,0,0,0,66,
airbnb,lottie-android,/home/camila/repos/airbnb/lottie-android,False,0,0,0,0,0,no-root-pom
alibaba,spring-cloud-alibaba,/home/camila/repos/alibaba/spring-cloud-alibaba,True,0,0,0,0,73,
alibaba,nacos,/home/camila/repos/alibaba/nacos,True,0,0,0,0,36,
alibaba,fastjson,/home/camila/repos/alibaba/fastjson,True,0,0,0,0,0,
aliyun,aliyun-openapi-java-sdk,/home/camila/repos/aliyun/aliyun-openapi-java-sdk,False,0,0,0,0,0,no-root-pom
Alluxio,alluxio,/home/camila/repos/Alluxio/alluxio,True,0,0,0,0,69,
AlmasB,FXGL,/home/camila/repos/AlmasB/FXGL,True,0,0,0,0,12,
AntennaPod,AntennaPod,/home/camila/repos/AntennaPod/AntennaPod,False,0,0,0,0,0,no-root-pom
antlr,antlr4,/home/camila/repos/antlr/antlr4,True,0,0,0,0,9,
AnySoftKeyboard,AnySoftKeyboard,/home/camila/repos/AnySoftKeyboard/AnySoftKeyboard,False,0,0,0,0,0,no-root-pom
apache,rocketmq,/home/camila/repos/apache/rocketmq,True,0,0,0,0,19,
apache,hudi,/home/camila/repos/apache/hudi,True,0,0,0,0,80,
apache,iceberg,/home/camila/repos/apache/iceberg,False,0,0,0,0,0,no-root-pom
apache,servicecomb-pack,/home/camila/repos/apache/servicecomb-pack,True,0,0,0,0,71,
apache,shiro,/home/camila/repos/apache/shiro,True,0,0,0,0,61,
apache,opennlp,/home/camila/repos/apache/opennlp,True,0,0,0,0,9,
apache,zookeeper,/home/camila/repos/apache/zookeeper,False,0,0,0,0,0,no-root-pom
apache,avro,/home/camila/repos/apache/avro,False,0,0,0,0,0,no-root-pom
apache,shardingsphere-elasticjob,/home/camila/repos/apache/shardingsphere-elasticjob,True,0,0,0,0,40,
apache,bookkeeper,/home/camila/repos/apache/bookkeeper,False,0,0,0,0,0,no-root-pom
apache,curator,/home/camila/repos/apache/curator,True,0,0,0,0,12,
apache,netbeans,/home/camila/repos/apache/netbeans,False,0,0,0,0,0,no-root-pom
apache,nutch,/home/camila/repos/apache/nutch,False,0,0,0,0,0,no-root-pom
apache,servicecomb-java-chassis,/home/camila/repos/apache/servicecomb-java-chassis,True,0,0,0,0,179,
apache,httpcomponents-client,/home/camila/repos/apache/httpcomponents-client,True,0,0,0,0,4,
apache,calcite,/home/camila/repos/apache/calcite,False,0,0,0,0,0,no-root-pom
apache,dubbo,/home/camila/repos/apache/dubbo,True,0,0,0,0,129,
apache,drill,/home/camila/repos/apache/drill,True,0,0,0,0,59,
apache,pulsar,/home/camila/repos/apache/pulsar,True,0,0,0,0,132,
apache,zeppelin,/home/camila/repos/apache/zeppelin,True,0,0,0,0,73,
apache,iotdb,/home/camila/repos/apache/iotdb,True,0,0,0,0,47,
apache,skywalking,/home/camila/repos/apache/skywalking,True,0,0,0,0,97,
apache,tika,/home/camila/repos/apache/tika,True,0,0,0,0,112,
apache,nifi,/home/camila/repos/apache/nifi,True,0,0,0,0,812,
apache,commons-lang,/home/camila/repos/apache/commons-lang,True,0,0,0,0,0,
apache,gobblin,/home/camila/repos/apache/gobblin,False,0,0,0,0,0,no-root-pom
apache,struts,/home/camila/repos/apache/struts,True,0,0,0,0,38,
apache,kafka,/home/camila/repos/apache/kafka,False,0,0,0,0,0,no-root-pom
apache,geode,/home/camila/repos/apache/geode,False,0,0,0,0,0,no-root-pom
apache,pdfbox,/home/camila/repos/apache/pdfbox,True,0,0,0,0,13,
apache,storm,/home/camila/repos/apache/storm,True,0,0,0,0,60,
apache,activemq,/home/camila/repos/apache/activemq,True,0,0,0,0,54,
apache,maven,/home/camila/repos/apache/maven,True,0,0,0,0,342,
apache,poi,/home/camila/repos/apache/poi,False,0,0,0,0,0,no-root-pom
apache,logging-log4j2,/home/camila/repos/apache/logging-log4j2,False,0,0,0,0,0,no-root-pom
apache,hive,/home/camila/repos/apache/hive,False,0,0,0,0,0,no-root-pom
apache,groovy,/home/camila/repos/apache/groovy,False,0,0,0,0,0,no-root-pom
apache,jmeter,/home/camila/repos/apache/jmeter,False,0,0,0,0,0,no-root-pom
apache,tinkerpop,/home/camila/repos/apache/tinkerpop,True,0,0,0,0,27,
apache,flink,/home/camila/repos/apache/flink,True,0,0,0,0,181,
apache,tomcat,/home/camila/repos/apache/tomcat,False,0,0,0,0,0,no-root-pom
apache,hadoop,/home/camila/repos/apache/hadoop,True,0,0,0,0,49,
apache,beam,/home/camila/repos/apache/beam,False,0,0,0,0,0,no-root-pom
apache,ambari,/home/camila/repos/apache/ambari,True,0,0,0,0,44,
apache,camel,/home/camila/repos/apache/camel,False,0,0,0,0,0,no-root-pom
apereo,cas,/home/camila/repos/apereo/cas,True,0,0,0,0,0,
asciidocfx,AsciidocFX,/home/camila/repos/asciidocfx/AsciidocFX,True,0,0,0,0,0,
AsyncHttpClient,async-http-client,/home/camila/repos/AsyncHttpClient/async-http-client,True,0,0,0,0,1,
Athou,commafeed,/home/camila/repos/Athou/commafeed,True,0,0,0,0,2,
Atmosphere,atmosphere,/home/camila/repos/Atmosphere/atmosphere,True,0,0,0,0,5,
Automattic,simplenote-android,/home/camila/repos/Automattic/simplenote-android,False,0,0,0,0,0,no-root-pom
aws,aws-sdk-java,/home/camila/repos/aws/aws-sdk-java,True,0,0,0,0,385,
aws,aws-sdk-java-v2,/home/camila/repos/aws/aws-sdk-java-v2,True,0,0,0,0,486,
AxonFramework,AxonFramework,/home/camila/repos/AxonFramework/AxonFramework,True,0,0,0,0,27,
azkaban,azkaban,/home/camila/repos/azkaban/azkaban,False,0,0,0,0,0,no-root-pom
bazelbuild,bazel,/home/camila/repos/bazelbuild/bazel,False,0,0,0,0,0,no-root-pom
bcgit,bc-java,/home/camila/repos/bcgit/bc-java,False,0,0,0,0,0,no-root-pom
ben-manes,caffeine,/home/camila/repos/ben-manes/caffeine,False,0,0,0,0,0,no-root-pom
bisq-network,bisq,/home/camila/repos/bisq-network/bisq,False,0,0,0,0,0,no-root-pom
bitcoin-wallet,bitcoin-wallet,/home/camila/repos/bitcoin-wallet/bitcoin-wallet,False,0,0,0,0,0,no-root-pom
bitcoinj,bitcoinj,/home/camila/repos/bitcoinj/bitcoinj,False,0,0,0,0,0,no-root-pom
Blankj,AndroidUtilCode,/home/camila/repos/Blankj/AndroidUtilCode,False,0,0,0,0,0,no-root-pom
bonigarcia,webdrivermanager,/home/camila/repos/bonigarcia/webdrivermanager,True,0,0,0,0,0,
bootique,bootique,/home/camila/repos/bootique/bootique,True,0,0,0,0,8,
brettwooldridge,HikariCP,/home/camila/repos/brettwooldridge/HikariCP,True,0,0,0,0,0,
broadinstitute,gatk,/home/camila/repos/broadinstitute/gatk,False,0,0,0,0,0,no-root-pom
BroadleafCommerce,BroadleafCommerce,/home/camila/repos/BroadleafCommerce/BroadleafCommerce,True,0,0,0,0,12,
BuildCraft,BuildCraft,/home/camila/repos/BuildCraft/BuildCraft,False,0,0,0,0,0,no-root-pom
bumptech,glide,/home/camila/repos/bumptech/glide,False,0,0,0,0,0,no-root-pom
bytedeco,javacpp-presets,/home/camila/repos/bytedeco/javacpp-presets,True,0,0,0,0,201,
cabaletta,baritone,/home/camila/repos/cabaletta/baritone,False,0,0,0,0,0,no-root-pom
camunda,camunda-bpm-platform,/home/camila/repos/camunda/camunda-bpm-platform,True,0,0,0,0,179,
CellularPrivacy,Android-IMSI-Catcher-Detector,/home/camila/repos/CellularPrivacy/Android-IMSI-Catcher-Detector,False,0,0,0,0,0,no-root-pom
cgeo,cgeo,/home/camila/repos/cgeo/cgeo,False,0,0,0,0,0,no-root-pom
checkstyle,checkstyle,/home/camila/repos/checkstyle/checkstyle,True,0,0,0,0,0,
classgraph,classgraph,/home/camila/repos/classgraph/classgraph,True,0,0,0,0,0,
clojure,clojure,/home/camila/repos/clojure/clojure,True,0,0,0,0,0,
cloudfoundry,uaa,/home/camila/repos/cloudfoundry/uaa,False,0,0,0,0,0,no-root-pom
codecentric,spring-boot-admin,/home/camila/repos/codecentric/spring-boot-admin,True,0,0,0,0,19,
Col-E,Recaf,/home/camila/repos/Col-E/Recaf,False,0,0,0,0,0,no-root-pom
confluentinc,kafka-rest,/home/camila/repos/confluentinc/kafka-rest,True,0,0,0,0,1,
confluentinc,schema-registry,/home/camila/repos/confluentinc/schema-registry,True,0,0,0,0,33,
confluentinc,ksql,/home/camila/repos/confluentinc/ksql,True,0,0,0,0,35,
connectbot,connectbot,/home/camila/repos/connectbot/connectbot,False,0,0,0,0,0,no-root-pom
crate,crate,/home/camila/repos/crate/crate,True,0,0,0,0,23,
cryptomator,cryptomator,/home/camila/repos/cryptomator/cryptomator,True,0,0,0,0,0,
cSploit,android,/home/camila/repos/cSploit/android,False,0,0,0,0,0,no-root-pom
cuba-platform,cuba,/home/camila/repos/cuba-platform/cuba,False,0,0,0,0,0,no-root-pom
cucumber,cucumber-jvm,/home/camila/repos/cucumber/cucumber-jvm,True,0,0,0,0,36,
danfickle,openhtmltopdf,/home/camila/repos/danfickle/openhtmltopdf,True,0,0,0,0,12,
